sk_id,bk_id,name
1,spotify:album:3ULJeOMgroG27dpn27MDfS,The Little Mermaid: Original Broadway Cast Recording
2,spotify:album:4aAwvCRNJIqiUGVEjieWv6,Little Mermaid
3,spotify:album:5wqx6PBsow0KIQrnu9xd6c,Aladdin Original Broadway Cast Recording
4,spotify:album:6fBzYwBKjuO4hmhcGuklJM,Tarzan Original Soundtrack
5,spotify:album:6DnTzVKb79zEtICWeIB2El,Beauty And The Beast: The Broadway Musical
6,spotify:album:3Pzoe4ffuNsxdgTHGaFJmo,Beauty and the Beast: The Broadway Musical
7,spotify:album:3O5p9VNddbwvqWTdYKEqV5,Beauty and the Beast
8,spotify:album:6H6j5EEKBxlelvtj5Ay4qP,Through The Fire
9,spotify:album:6BKNI3Izd1ySivgwb2vy1a,Tarzan: The Broadway Musical
10,spotify:album:62EL4ZfXVeQJuxQ6fUIu7A,Aladdin and the King of Thieves
11,spotify:album:29EiOQJnxWlX5nVOWQpu3u,Aladdin
12,spotify:album:3vyGIwsYBdanFhrmNUN5t6,Baby Come To Me: The Best Of Regina Belle
13,spotify:album:7z46fPkl9344yv05HT1Uoq,Hercules
14,spotify:album:79xGkf1594kBEtCIaL6yKj,Hercules Original Soundtrack
15,spotify:album:7IkFQ66wAlgoNTAKUyRXcw,All That Matters
16,spotify:album:3U3I9TY7on88tPvM1guh54,Sleeping Beauty
17,spotify:album:7tmoPUVPkqOrLkVa3RwZdK,"Hello, Avalanche"
18,spotify:album:459fUY8KMLna0jiAXAYBNh,The House of Apples & Eyeballs
19,spotify:album:2FrzrIrDpeDk7gaQtspHEo,Windshield Smasher EP
20,spotify:album:7KTQJ3OmSZ59RKLCeCHUln,Extra Flavor (Dandelion Gum-Era Sessions)
21,spotify:album:1L3Rtt9U5MMHQ9ZKaqXjzn,Dandelion Gum
22,spotify:album:0RKbf3ISQxPVhp5L1ktkN2,Dandelion Gum
23,spotify:album:5105Q4gz4lR5WU4ylpILoD,"Lost, Picking Flowers in the Woods"
