sk_id,bk_id,name
1,spotify:artist:3TymzPhJTMyupk7P5xkahM,Original Broadway Cast - The Little Mermaid
2,spotify:artist:1j4a3bBWYNjecFqxcjRtr5,Sierra Boggess as Ariel
3,spotify:artist:5sy77gt4bfsLcSQ8GIe4ZZ,Alan Menken
4,spotify:artist:1RJ9qwSsCfnOcTXBSqotNk,Ariel
5,spotify:artist:6Id8rcDNyBXPcgKQVfQ8rX,Samuel E. Wright
6,spotify:artist:0Yy9u86cq66Se2pB9fYaiW,Pat Carroll
7,spotify:artist:4mmMtabvFCKA6HfmVmitNH,Jodi Benson
8,spotify:artist:3bEmnpduyFyrEBuTz6cLhY,Daughters of Triton
9,spotify:artist:2ddxtfC0oS8LoktXUHE7YL,Ashley Tisdale
10,spotify:artist:0uxCcs6uoQy6StkrWS1QjW,Disney Studio Chorus
11,spotify:artist:1RHbG28m5gaCOeIgaxEgLb,James Monroe Iglehart
12,spotify:artist:5AmnFjIvQPCZJk3ES5kki4,Adam Jacobs
13,spotify:artist:0HoHDR9cOuYoJZH7MMWwEU,Courtney Reed
14,spotify:artist:4pzaZirT7mKOUeNkLRp7Qi,Brian Gonzales
15,spotify:artist:3o7cjeUAnxMO309dfLsmDl,Clifton Davis
16,spotify:artist:2970T0VJFpIWMA2aZi6Lpi,Jonathan Freeman
17,spotify:artist:0PEGusPl9WpEu5Y20p3PIo,Aladdin Original Broadway Cast
18,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,Phil Collins
19,spotify:artist:6MtNqT9MaEmDTF5lQL6HFk,Wendy Oliver
20,spotify:artist:0XmsLZGAfaW5GvksORVlXJ,Linda Talcott
21,spotify:artist:7CckquWatDQSr3PFKkjM8M,Susan Egan
22,spotify:artist:2GkBAn94QkoPkeIqYqBysz,Tom Bosley
23,spotify:artist:64BC8AWWTaiOhej6ZYAXzv,Burke Moses
24,spotify:artist:7KNW6OwcA260MsaEtnvhxV,Beth Fowler
25,spotify:artist:28OYna1pjzLUp2TrXnkK6p,Kenny Raskin
26,spotify:artist:5uBIsYz9WatgoViLG6pVj2,Terrence Mann
27,spotify:artist:7ytM1slwsB4EJ8JYhMtBmf,Brian Press
28,spotify:artist:7EZq7lAy07yNS40YvN20Sv,Gordon Stanley
29,spotify:artist:31gtcs2n8ILyd09TvlSwJt,Broadway Cast of Beauty and the Beast
30,spotify:artist:3kWWBtNzJFtKA222gZz39d,Chorus - Beauty And the Beast
31,spotify:artist:7oavKrnYbTZPAPq7zCuipM,Paige O'Hara
32,spotify:artist:3VJHDGyXflZQf3k13816eQ,Richard White
33,spotify:artist:53vhGhGRoi9ARM7kr3jrz5,Jesse Corti
34,spotify:artist:0LtVJXnPR8msCJiE2DjHxy,Angela Lansbury
35,spotify:artist:3QcGV278a6mmLRTOK29WBP,Robby Benson
36,spotify:artist:4S9EykWXhStSc15wEx8QFK,Céline Dion
37,spotify:artist:2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks
38,spotify:artist:515HOzF4js6uU1NnpZWI6k,Josh Strickland
39,spotify:artist:3w400cDnf8tfK2SDH03KAY,Merle Dandridge
40,spotify:artist:6iBzKVhn8irLE4iZZiQD2D,Chester Gregory II
41,spotify:artist:0BLhPNtXIHF0v1KvVWL8cE,Alex Rutherford
42,spotify:artist:3iHI71v1eK3hSyZNn6o5E9,Ensemble - TARZAN
43,spotify:artist:2Ksj5Qwx5Ikhx6GoDUyk1T,Jenn Gambatese
44,spotify:artist:4OrieSJUghNfNx5UuPCgxF,Robin Williams
45,spotify:artist:3RCg2I3QQqOinllMoXWYHx,Chorus - Aladdin And The King Of Thieves
46,spotify:artist:4hcWMDrWJYyU66HA583nCb,Liz Callaway
47,spotify:artist:5i2OpmeVKsmViqoETxuOvO,Jerry Orbach
48,spotify:artist:66oKiXdIQP7MwN0gPUY0FD,Bruce Adler
49,spotify:artist:1eLQfcrqAqbppQHMHbPv0P,Jafar
50,spotify:artist:4GTwpdUZ6qDJFXHaIOtXtX,Gilbert Gottfried
51,spotify:artist:1BKhdAolebQUVwfDGyQpfk,Mark Watters
52,spotify:artist:0eM8CQVh6KRjm5Vpe03bsR,Carl Johnson
53,spotify:artist:3dAzSJ9lQnJSq5Z0OgDBep,Brad Kane
54,spotify:artist:1GlMjIezcLwV3OFlX0uXOv,Lea Salonga
55,spotify:artist:49iKbKGqgn8OESkW5WduX0,Peabo Bryson
56,spotify:artist:208Yv116AXew7Zp74XMcSm,Charlton Heston
57,spotify:artist:3E0MPcbZSjfJ1HsnJKXkqd,Cheryl Freeman
58,spotify:artist:66mvEj9XSF89tUj87Y3HDu,Roz Ryan
59,spotify:artist:4sZw3BLoQ9SniX4mcoh80b,Roger Bart
60,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists
61,spotify:artist:79uCun3N91BDTFBVTfxwz6,Danny DeVito
62,spotify:artist:2pLvZNFSNqj5ggB8cPK7ki,Chorus - Hercules
63,spotify:artist:5TKKPpY9zr2qrz3JM3Vawq,Lillias White
64,spotify:artist:6YHEMoNPbcheiWS2haGzkn,Michael Bolton
65,spotify:artist:1qeo0u3hwxCBcYsn3a4kyo,Mary Costa
66,spotify:artist:7EFRvnUHNLWOYVPg8AuI7o,The Octopus Project
67,spotify:artist:4UHzJP2iKVf0RhKIv7ZE2l,Black Moth Super Rainbow
68,spotify:artist:3ikKyCOrsMeANi0d5u8BCR,Tobacco
69,spotify:artist:2VAvhf61GgLYmC6C8anyX1,Boards of Canada
70,spotify:artist:3E6Tbv49KoKnCoGqHJHQGx,Felix Laband
71,spotify:artist:0m5XJwKGYyUjd3VMfcINCQ,Shpongle
72,spotify:artist:4jd6GufdXsJXzwXXb0zX2T,Tabla Beat Science
73,spotify:artist:5xMtVcziLHpIwD9iNWPOM6,Casino Versus Japan
74,spotify:artist:1INuLZXjjVbcJRyWvD1iSq,Jack & Jack
75,spotify:artist:63yrD80RY3RNEM2YDpUpO8,Melanie Martinez
76,spotify:artist:5pUmXBIQtqpvdV1HAy2xYC,Never Shout Never
77,spotify:artist:49tQo2QULno7gxHutgccqF,LANY
78,spotify:artist:5H6xmHXjsq98NLbEjuE29f,NEIKED
79,spotify:artist:6dEtLwgmSI0hmfwTSjy8cw,Real Friends
80,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,Russ
