sk_id,bk_id,name
1,spotify:track:5IbCV9Icebx8rR6wAp5hhP,Fathoms Below - Broadway Cast Recording
2,spotify:track:6rKVAvjHcxAzZ1BHtwh5yC,Daughters Of Triton - Broadway Cast Recording
3,spotify:track:6Jlkb1Wh08RYHstWScsTvg,The World Above - Broadway Cast Recording
4,spotify:track:0XhC8bfStML9ygBmfOt1JJ,Human Stuff - Broadway Cast Recording
5,spotify:track:0ABxAcsRWlqckkyONsfP67,I Want the Good Times Back - Broadway Cast Recording
6,spotify:track:1iVkEiZS6ijZ76KeMsrXG6,Part Of Your World
7,spotify:track:0yLjkpa51CN1uiryMDOrtt,Storm at Sea - Broadway Cast Recording
8,spotify:track:2jxJF5RaHcqcUyg3T3FHpW,Part Of Your World (Reprise) - Broadway Cast Recording
9,spotify:track:5eHx8TOZ7UIQLtd6aUWKkK,She's in Love - Broadway Cast Recording
10,spotify:track:0hfFDkS845UKM3BIKXmFBo,Her Voice - Broadway Cast Recording
11,spotify:track:5q6AzKGeIHmrGReupqYYfr,The World Above (Reprise) - Broadway Cast Recording
12,spotify:track:4MimthDKiYVMCqDBJEiw1U,Under the Sea - Broadway Cast Recording
13,spotify:track:2JEQiyNx2BuERPuQG6qNT4,Under the Sea (Reprise) - Broadway Cast Recording
14,spotify:track:4AONRuRx872zyuIK3wyf3P,Sweet Child - Broadway Cast Recording
15,spotify:track:5TwMVNl4Uh5XyZILQbID8J,Poor Unfortunate Souls - Broadway Cast Recording
16,spotify:track:2dcBxm5NKMzEvRpwzRmr0s,Positoovity - Broadway Cast Recording
17,spotify:track:07Ikb6oVQ5bddOktyquwFL,Beyond My Wildest Dreams - Broadway Cast Recording
18,spotify:track:5Kwv0VoK9SIdt6RMRusora,One Step Closer - Broadway Cast Recording
19,spotify:track:3zeranG6JeC4PXlesNtPYr,I Want the Good Times Back (Reprise) - Broadway Cast Recording
20,spotify:track:3YicD1Orx2WTSg4SUbjNWb,Kiss the Girl - Broadway Cast Recording
21,spotify:track:0zYDXbTk7IMoS5NA6Pcu6i,Sweet Child (Reprise) - Broadway Cast Recording
22,spotify:track:08iT1Hdv5gjPPlvSj7OUTZ,If Only (Quartet) - Broadway Cast Recording
23,spotify:track:7FzcQTmkQZdm0aN54xdj8c,The Contest - Broadway Cast Recording
24,spotify:track:5d3FbEwSLgvWJelZwaIu8Q,Poor Unfortunate Souls (Reprise) - Broadway Cast Recording
25,spotify:track:3Tcv2Ck5n0R7wrd4q7mB7K,If Only (Reprise) - Broadway Cast Recording
26,spotify:track:2nJ38YXkzKwV8r18LKh8GX,Finale - Broadway Cast Recording
27,spotify:track:4HGIPyqDxSf863tPOwXiLJ,"Kiss the Girl - From ""The Little Mermaid""/Soundtrack Version"
28,spotify:track:7zsw78LtXUD7JfEwH64HK2,"Poor Unfortunate Souls - From ""The Little Mermaid"" / Soundtrack Version"
29,spotify:track:1YzCSIwQ1wlchlqoRrAh1c,"Part of Your World (Reprise) - From ""The Little Mermaid""/ Soundtrack Version"
30,spotify:track:6oYkwjI1TKP9D0Y9II1GT7,"Under the Sea - From ""The Little Mermaid""/ Soundtrack Version"
31,spotify:track:7tUSJY4nsDBJTjd1UXKRsT,"Part of Your World - From ""The Little Mermaid""/ Soundtrack Version"
32,spotify:track:3nN3RstyJA9LlIQvnkkKtD,"Daughters of Triton - From ""The Little Mermaid""/ Soundtrack Version"
